condition_id,t,bu,au,bd,ad,su,sd,sau,sad,du,dd
0xsmoke0000,1770000110,0.42,0.44,0.56,0.58,59.5,189.8,472.3,292.3,4152.1,3461.1
0xsmoke0000,1770000115,0.45,0.47,0.53,0.55,136.1,308.5,67.9,410.7,4820.3,4343.0
0xsmoke0000,1770000120,0.37,0.39,0.61,0.63,202.4,193.1,100.7,332.0,4088.6,1911.7
0xsmoke0000,1770000125,0.36,0.38,0.62,0.64,408.7,108.1,395.1,447.2,1387.8,3081.4
0xsmoke0000,1770000130,0.44,0.46,0.54,0.56,324.2,93.3,347.5,334.4,4207.5,4115.8
0xsmoke0000,1770000135,0.42,0.44,0.56,0.58,374.9,440.3,451.8,122.7,620.2,3428.6
0xsmoke0000,1770000140,0.5,0.52,0.48,0.5,303.7,475.2,220.7,163.7,2554.3,3457.6
0xsmoke0000,1770000145,0.42,0.44,0.56,0.58,221.3,110.2,348.1,423.7,2195.8,2172.8
0xsmoke0000,1770000150,0.34,0.36,0.64,0.66,146.8,161.3,198.4,255.8,866.9,3887.3
0xsmoke0000,1770000155,0.29,0.31,0.69,0.71,184.9,84.9,393.4,109.0,1099.4,1088.1
0xsmoke0000,1770000160,0.33,0.35,0.65,0.67,457.9,171.2,187.9,424.8,3289.7,1342.1
0xsmoke0000,1770000165,0.24,0.26,0.74,0.76,447.8,218.9,369.9,93.6,3773.0,3994.1
0xsmoke0000,1770000170,0.3,0.32,0.68,0.7,353.4,216.8,78.9,283.4,3908.6,1358.8
0xsmoke0000,1770000175,0.25,0.27,0.73,0.75,291.3,386.7,453.5,106.6,1329.2,4097.9
0xsmoke0000,1770000180,0.23,0.25,0.75,0.77,374.4,498.5,472.6,429.4,3997.0,2277.6
0xsmoke0000,1770000185,0.25,0.27,0.73,0.75,133.0,391.8,391.0,374.6,2501.6,2201.8
0xsmoke0000,1770000190,0.21,0.23,0.77,0.79,65.0,429.9,294.1,224.4,2966.1,3747.4
0xsmoke0000,1770000195,0.22,0.24,0.76,0.78,423.8,463.8,224.3,112.0,3921.7,4968.3
0xsmoke0000,1770000200,0.2,0.22,0.78,0.8,370.7,421.4,464.3,105.5,913.1,4945.4
0xsmoke0000,1770000205,0.19,0.21,0.79,0.81,308.7,250.8,387.7,135.8,4614.9,1477.4
0xsmoke0000,1770000210,0.19,0.21,0.79,0.81,80.4,263.0,64.7,191.2,1905.0,3738.9
0xsmoke0000,1770000215,0.15,0.17,0.83,0.85,75.5,497.9,449.9,462.3,1609.6,2273.5
0xsmoke0000,1770000220,0.16,0.18,0.82,0.84,106.2,64.9,276.5,105.4,1293.4,4372.1
0xsmoke0000,1770000225,0.14,0.16,0.84,0.86,132.7,351.4,169.6,287.1,1773.3,2822.7
0xsmoke0000,1770000230,0.16,0.18,0.82,0.84,291.3,228.0,405.9,443.0,1307.2,1113.4
0xsmoke0000,1770000235,0.09,0.11,0.89,0.91,490.8,473.7,153.8,486.5,1435.2,2779.1
0xsmoke0000,1770000240,0.08,0.1,0.9,0.92,461.7,68.2,191.9,320.0,798.8,1564.5
0xsmoke0000,1770000245,0.09,0.11,0.89,0.91,446.4,392.4,423.0,392.5,3684.7,4323.6
0xsmoke0000,1770000250,0.16,0.18,0.82,0.84,381.1,185.7,125.4,390.4,1246.3,4637.6
0xsmoke0000,1770000255,0.06,0.08,0.92,0.94,198.2,471.5,119.8,281.5,912.0,4844.4
0xsmoke0000,1770000260,0.07,0.09,0.91,0.93,411.6,176.9,410.8,366.3,3396.6,4777.5
0xsmoke0000,1770000265,0.06,0.08,0.92,0.94,236.8,361.5,425.8,200.8,3513.5,1440.7
0xsmoke0000,1770000270,0.07,0.09,0.91,0.93,396.1,79.4,377.5,56.9,4812.6,2609.0
0xsmoke0000,1770000275,0.08,0.1,0.9,0.92,374.2,285.5,378.9,88.1,3032.6,3011.5
0xsmoke0000,1770000280,0.02,0.04,0.96,0.98,67.8,253.8,334.0,297.8,833.7,3169.5
0xsmoke0000,1770000285,0.01,0.03,0.97,0.99,138.0,445.4,139.0,254.4,3876.3,3682.9
0xsmoke0000,1770000290,0.01,0.03,0.97,0.99,413.2,259.6,329.2,418.5,3551.4,3388.2
0xsmoke0000,1770000295,0.01,0.03,0.97,0.99,301.2,228.2,384.9,221.2,2599.8,3899.6
0xsmoke0000,1770000300,0.02,0.04,0.96,0.98,202.1,422.1,221.4,430.1,4033.6,2512.8
0xsmoke0001,1770000305,0.42,0.44,0.56,0.58,65.5,225.4,437.2,310.8,3010.2,3491.3
0xsmoke0001,1770000310,0.44,0.46,0.54,0.56,312.6,239.3,132.6,181.7,1818.1,2438.4
0xsmoke0001,1770000315,0.45,0.47,0.53,0.55,251.3,217.2,311.6,476.6,4500.8,2197.1
0xsmoke0001,1770000320,0.48,0.5,0.5,0.52,448.0,272.2,358.5,83.0,4399.5,1908.3
0xsmoke0001,1770000325,0.44,0.46,0.54,0.56,139.1,239.1,422.6,422.4,2631.5,3955.6
0xsmoke0001,1770000330,0.52,0.54,0.46,0.48,218.0,295.7,140.6,192.5,3679.4,3967.3
0xsmoke0001,1770000335,0.41,0.43,0.57,0.59,379.8,417.8,250.3,78.1,3573.1,1607.7
0xsmoke0001,1770000340,0.44,0.46,0.54,0.56,219.5,336.7,166.2,264.4,2861.0,3339.6
0xsmoke0001,1770000345,0.5,0.52,0.48,0.5,482.9,180.1,187.7,165.3,803.6,2403.2
0xsmoke0001,1770000350,0.44,0.46,0.54,0.56,369.3,138.0,111.6,194.6,3957.1,2696.4
0xsmoke0001,1770000355,0.41,0.43,0.57,0.59,345.4,329.4,395.5,387.6,2047.3,1656.5
0xsmoke0001,1770000360,0.38,0.4,0.6,0.62,270.2,113.8,248.6,337.9,1110.7,1121.2
0xsmoke0001,1770000365,0.41,0.43,0.57,0.59,177.5,482.8,61.6,132.7,1242.7,2634.6
0xsmoke0001,1770000370,0.43,0.45,0.55,0.57,256.2,123.3,171.3,406.6,1328.3,3277.1
0xsmoke0001,1770000375,0.43,0.45,0.55,0.57,237.9,417.6,122.4,465.7,4520.7,3507.4
0xsmoke0001,1770000380,0.42,0.44,0.56,0.58,348.5,320.2,397.5,146.2,4790.1,4487.9
0xsmoke0001,1770000385,0.34,0.36,0.64,0.66,191.8,64.6,423.9,461.8,4954.1,3253.7
0xsmoke0001,1770000390,0.37,0.39,0.61,0.63,355.3,306.6,478.6,323.5,2010.8,2807.9
0xsmoke0001,1770000395,0.38,0.4,0.6,0.62,375.9,362.3,239.5,433.2,3899.9,2015.1
0xsmoke0001,1770000400,0.35,0.37,0.63,0.65,109.5,132.9,186.8,251.4,4676.0,1752.9
0xsmoke0001,1770000405,0.39,0.41,0.59,0.61,356.2,434.1,231.5,51.5,4041.4,1604.6
0xsmoke0001,1770000410,0.37,0.39,0.61,0.63,409.8,358.8,145.6,170.4,4726.5,1708.4
0xsmoke0001,1770000415,0.37,0.39,0.61,0.63,108.3,416.8,102.9,282.2,658.5,2975.4
0xsmoke0001,1770000420,0.47,0.49,0.51,0.53,88.0,173.4,394.1,323.6,1907.6,3330.1
0xsmoke0001,1770000425,0.46,0.48,0.52,0.54,438.1,181.8,391.0,336.1,3831.9,2202.2
0xsmoke0001,1770000430,0.49,0.51,0.49,0.51,364.3,224.4,61.9,483.3,3711.2,1421.3
0xsmoke0001,1770000435,0.41,0.43,0.57,0.59,175.4,261.2,436.9,251.6,1796.0,1874.7
0xsmoke0001,1770000440,0.41,0.43,0.57,0.59,148.8,172.0,127.8,78.4,2596.1,1464.8
0xsmoke0001,1770000445,0.37,0.39,0.61,0.63,465.1,172.8,307.5,278.0,838.0,1061.9
0xsmoke0001,1770000450,0.37,0.39,0.61,0.63,263.4,412.1,80.0,317.7,4393.9,4401.8
0xsmoke0001,1770000455,0.33,0.35,0.65,0.67,284.8,216.1,392.0,82.9,1692.2,4156.9
0xsmoke0001,1770000460,0.27,0.29,0.71,0.73,253.9,485.9,194.0,68.8,2264.9,1190.2
0xsmoke0001,1770000465,0.31,0.33,0.67,0.69,305.5,479.1,310.7,341.2,1956.3,3070.1
0xsmoke0001,1770000470,0.27,0.29,0.71,0.73,315.2,411.3,297.7,139.2,3122.3,2709.2
0xsmoke0001,1770000475,0.24,0.26,0.74,0.76,328.6,417.6,110.8,295.2,3801.6,2313.6
0xsmoke0001,1770000480,0.24,0.26,0.74,0.76,217.5,293.8,359.0,301.6,981.6,4180.5
0xsmoke0001,1770000485,0.26,0.28,0.72,0.74,95.6,162.3,128.2,432.1,4596.3,699.2
0xsmoke0001,1770000490,0.25,0.27,0.73,0.75,136.6,261.3,464.7,81.6,1270.8,2691.6
0xsmoke0001,1770000495,0.21,0.23,0.77,0.79,385.5,247.0,113.5,209.1,4919.4,3878.2
0xsmoke0001,1770000500,0.15,0.17,0.83,0.85,413.7,189.9,401.6,55.7,4420.7,1230.4
0xsmoke0001,1770000505,0.15,0.17,0.83,0.85,347.8,278.5,124.4,112.6,1780.4,735.8
0xsmoke0001,1770000510,0.14,0.16,0.84,0.86,108.5,259.2,210.4,314.1,1764.0,652.6
0xsmoke0001,1770000515,0.24,0.26,0.74,0.76,389.8,165.1,232.0,389.7,2330.1,4492.1
0xsmoke0001,1770000520,0.14,0.16,0.84,0.86,189.7,381.2,163.9,112.8,2470.5,3211.1
0xsmoke0001,1770000525,0.13,0.15,0.85,0.87,115.7,370.6,264.0,109.3,4877.0,3631.0
0xsmoke0001,1770000530,0.16,0.18,0.82,0.84,457.6,96.4,91.7,199.2,4720.8,648.6
0xsmoke0001,1770000535,0.17,0.19,0.81,0.83,325.2,80.2,305.9,256.5,3037.9,3817.4
0xsmoke0001,1770000540,0.11,0.13,0.87,0.89,498.8,120.5,415.8,235.0,4024.9,4513.0
0xsmoke0001,1770000545,0.18,0.2,0.8,0.82,169.7,253.8,474.3,475.6,2177.9,4730.9
0xsmoke0001,1770000550,0.1,0.12,0.88,0.9,218.6,390.5,262.0,251.7,2237.5,2447.6
0xsmoke0001,1770000555,0.11,0.13,0.87,0.89,77.5,389.3,304.0,352.4,4110.5,1535.5
0xsmoke0001,1770000560,0.05,0.07,0.93,0.95,175.1,186.8,392.3,218.4,1954.3,3363.4
0xsmoke0001,1770000565,0.05,0.07,0.93,0.95,97.9,363.7,390.4,183.4,3362.2,653.3
0xsmoke0001,1770000570,0.1,0.12,0.88,0.9,310.1,164.0,206.7,324.3,3154.5,1193.9
0xsmoke0001,1770000575,0.04,0.06,0.94,0.96,86.0,486.4,141.1,164.1,1401.4,4961.7
0xsmoke0001,1770000580,0.04,0.06,0.94,0.96,322.4,495.8,477.5,69.1,2845.3,3205.9
0xsmoke0001,1770000585,0.03,0.05,0.95,0.97,201.2,197.6,51.9,65.9,2975.3,841.5
0xsmoke0001,1770000590,0.01,0.03,0.97,0.99,200.0,81.7,63.9,467.1,2458.4,1422.0
0xsmoke0001,1770000595,0.01,0.03,0.97,0.99,54.3,160.3,482.3,454.0,3361.7,919.4
0xsmoke0001,1770000600,0.06,0.08,0.92,0.94,62.6,148.6,61.4,106.8,3349.5,952.0
0xsmoke0002,1770000605,0.5,0.52,0.48,0.5,456.3,201.0,199.8,88.9,4081.7,3543.7
0xsmoke0002,1770000610,0.49,0.51,0.49,0.51,328.1,95.2,167.1,312.6,4785.0,4177.1
0xsmoke0002,1770000615,0.49,0.51,0.49,0.51,283.5,56.8,450.8,80.1,1080.9,3618.8
0xsmoke0002,1770000620,0.44,0.46,0.54,0.56,403.9,253.6,129.7,65.9,4331.2,4899.6
0xsmoke0002,1770000625,0.55,0.57,0.43,0.45,439.7,231.1,190.1,277.3,536.8,2492.2
0xsmoke0002,1770000630,0.42,0.44,0.56,0.58,370.6,276.2,441.0,453.5,1925.4,1761.7
0xsmoke0002,1770000635,0.49,0.51,0.49,0.51,276.8,93.4,70.6,495.7,3106.2,745.2
0xsmoke0002,1770000640,0.46,0.48,0.52,0.54,276.8,245.9,478.1,476.9,1062.4,1182.7
0xsmoke0002,1770000645,0.44,0.46,0.54,0.56,425.3,330.7,378.4,309.2,1445.3,4179.9
0xsmoke0002,1770000650,0.44,0.46,0.54,0.56,364.3,137.5,262.0,488.8,2925.7,756.3
0xsmoke0002,1770000655,0.46,0.48,0.52,0.54,347.1,75.5,163.7,58.3,2930.3,2216.6
0xsmoke0002,1770000660,0.43,0.45,0.55,0.57,183.1,345.6,127.9,458.0,4820.4,2718.5
0xsmoke0002,1770000665,0.45,0.47,0.53,0.55,436.8,180.4,411.4,179.3,3739.8,2003.1
0xsmoke0002,1770000670,0.35,0.37,0.63,0.65,466.6,74.4,413.3,293.8,2205.8,2076.2
0xsmoke0002,1770000675,0.44,0.46,0.54,0.56,166.3,330.4,93.9,351.2,4830.1,4913.5
0xsmoke0002,1770000680,0.4,0.42,0.58,0.6,413.0,130.1,486.6,141.2,4410.7,4450.4
0xsmoke0002,1770000685,0.42,0.44,0.56,0.58,140.2,283.8,180.8,106.6,1076.9,4105.3
0xsmoke0002,1770000690,0.43,0.45,0.55,0.57,113.8,56.0,168.6,110.5,1348.8,3125.0
0xsmoke0002,1770000695,0.37,0.39,0.61,0.63,243.2,142.5,349.1,180.3,2296.2,2585.4
0xsmoke0002,1770000700,0.39,0.41,0.59,0.61,160.9,373.4,189.2,452.5,2273.4,2773.2
0xsmoke0002,1770000705,0.38,0.4,0.6,0.62,352.7,92.5,111.6,495.8,631.0,1853.9
0xsmoke0002,1770000710,0.36,0.38,0.62,0.64,56.8,122.6,146.0,88.9,2623.8,3166.0
0xsmoke0002,1770000715,0.36,0.38,0.62,0.64,98.9,414.9,412.0,302.9,1119.8,2938.6
0xsmoke0002,1770000720,0.41,0.43,0.57,0.59,242.7,438.7,225.5,279.9,1013.6,3036.0
0xsmoke0002,1770000725,0.42,0.44,0.56,0.58,379.1,165.6,496.3,374.0,2406.9,2367.1
0xsmoke0002,1770000730,0.43,0.45,0.55,0.57,129.1,337.8,373.5,282.4,4429.4,2608.9
0xsmoke0002,1770000735,0.4,0.42,0.58,0.6,178.1,463.7,192.3,362.9,2342.1,4709.4
0xsmoke0002,1770000740,0.46,0.48,0.52,0.54,63.5,497.5,322.2,83.2,2736.6,722.6
0xsmoke0002,1770000745,0.38,0.4,0.6,0.62,133.5,215.6,187.1,321.0,4200.6,4714.4
0xsmoke0002,1770000750,0.34,0.36,0.64,0.66,306.4,52.7,217.5,482.3,1034.8,4414.2
0xsmoke0002,1770000755,0.32,0.34,0.66,0.68,182.3,400.2,180.2,452.7,872.4,1035.5
0xsmoke0002,1770000760,0.3,0.32,0.68,0.7,252.1,116.4,281.0,183.6,2971.9,3846.7
0xsmoke0002,1770000765,0.3,0.32,0.68,0.7,76.6,316.6,492.6,256.9,3963.0,937.7
0xsmoke0002,1770000770,0.3,0.32,0.68,0.7,449.7,404.2,441.2,75.8,3719.9,1386.4
0xsmoke0002,1770000775,0.24,0.26,0.74,0.76,196.2,316.1,332.5,469.1,557.2,1370.5
0xsmoke0002,1770000780,0.26,0.28,0.72,0.74,418.1,297.5,280.4,392.1,3447.8,1804.4
0xsmoke0002,1770000785,0.2,0.22,0.78,0.8,258.0,446.1,319.2,74.0,2480.3,2230.8
0xsmoke0002,1770000790,0.21,0.23,0.77,0.79,314.2,478.1,202.1,233.6,3260.8,4488.8
0xsmoke0002,1770000795,0.26,0.28,0.72,0.74,261.9,416.6,268.4,483.6,1771.2,1073.3
0xsmoke0002,1770000800,0.19,0.21,0.79,0.81,183.8,431.3,324.2,279.0,891.6,4038.4
0xsmoke0002,1770000805,0.18,0.2,0.8,0.82,484.3,444.6,186.3,107.5,4485.5,2659.3
0xsmoke0002,1770000810,0.16,0.18,0.82,0.84,233.5,338.1,461.9,410.4,1224.5,2648.0
0xsmoke0002,1770000815,0.13,0.15,0.85,0.87,495.3,89.1,279.8,461.5,2294.8,1677.7
0xsmoke0002,1770000820,0.19,0.21,0.79,0.81,194.0,467.2,88.2,143.0,877.4,3703.5
0xsmoke0002,1770000825,0.15,0.17,0.83,0.85,455.1,452.1,471.4,165.3,503.0,2244.2
0xsmoke0002,1770000830,0.09,0.11,0.89,0.91,393.7,76.8,366.2,462.7,4854.7,3721.9
0xsmoke0002,1770000835,0.13,0.15,0.85,0.87,428.8,211.3,94.6,377.4,1116.1,2228.9
0xsmoke0002,1770000840,0.17,0.19,0.81,0.83,301.9,284.8,476.5,177.8,4997.4,4603.9
0xsmoke0002,1770000845,0.07,0.09,0.91,0.93,197.3,107.0,462.0,133.6,540.4,4505.3
0xsmoke0002,1770000850,0.09,0.11,0.89,0.91,352.3,379.9,69.2,91.3,2749.3,726.2
0xsmoke0002,1770000855,0.11,0.13,0.87,0.89,381.4,345.8,327.5,70.9,1564.9,4538.7
0xsmoke0002,1770000860,0.05,0.07,0.93,0.95,290.0,72.5,472.6,127.2,2345.1,2960.5
0xsmoke0002,1770000865,0.11,0.13,0.87,0.89,471.9,381.4,206.3,83.9,3683.3,4876.3
0xsmoke0002,1770000870,0.08,0.1,0.9,0.92,398.6,129.3,257.0,285.2,3264.9,4952.9
0xsmoke0002,1770000875,0.09,0.11,0.89,0.91,226.6,371.8,260.0,235.9,2145.4,2720.3
0xsmoke0002,1770000880,0.04,0.06,0.94,0.96,158.9,116.8,248.1,182.0,4266.2,4315.5
0xsmoke0002,1770000885,0.03,0.05,0.95,0.97,328.6,456.0,211.6,299.6,2496.0,3426.2
0xsmoke0002,1770000890,0.01,0.03,0.97,0.99,112.4,484.4,349.6,408.1,3358.0,4416.4
0xsmoke0002,1770000895,0.01,0.03,0.97,0.99,368.6,168.9,278.9,356.7,1405.1,775.2
0xsmoke0002,1770000900,0.03,0.05,0.95,0.97,414.0,349.5,194.6,346.2,877.5,3481.3
0xsmoke0003,1770000905,0.53,0.55,0.45,0.47,327.7,251.1,151.3,376.6,2588.6,3854.2
0xsmoke0003,1770000910,0.47,0.49,0.51,0.53,89.5,294.1,330.2,464.8,4494.9,757.2
0xsmoke0003,1770000915,0.5,0.52,0.48,0.5,167.6,363.7,220.8,194.9,2697.3,2887.4
0xsmoke0003,1770000920,0.47,0.49,0.51,0.53,337.0,355.2,222.8,354.8,2054.2,3233.9
0xsmoke0003,1770000925,0.49,0.51,0.49,0.51,303.3,57.9,274.5,149.0,2236.2,832.0
0xsmoke0003,1770000930,0.52,0.54,0.46,0.48,452.1,209.6,97.3,329.1,1071.7,4512.3
0xsmoke0003,1770000935,0.46,0.48,0.52,0.54,212.8,272.6,103.0,193.4,1738.8,3709.9
0xsmoke0003,1770000940,0.57,0.59,0.41,0.43,213.3,405.8,113.2,311.0,2447.2,1796.8
0xsmoke0003,1770000945,0.5,0.52,0.48,0.5,385.9,110.3,181.6,418.8,4965.9,3252.0
0xsmoke0003,1770000950,0.47,0.49,0.51,0.53,492.9,383.2,340.1,149.6,2166.9,3306.0
0xsmoke0003,1770000955,0.52,0.54,0.46,0.48,185.8,227.8,60.0,363.5,2496.1,4089.8
0xsmoke0003,1770000960,0.5,0.52,0.48,0.5,346.8,352.9,258.9,134.9,2313.0,3852.7
0xsmoke0003,1770000965,0.53,0.55,0.45,0.47,90.5,258.3,155.5,410.2,4177.6,4753.8
0xsmoke0003,1770000970,0.49,0.51,0.49,0.51,341.3,134.2,420.4,377.6,3860.9,3638.5
0xsmoke0003,1770000975,0.6,0.62,0.38,0.4,184.0,352.6,282.8,202.0,1970.8,1199.6
0xsmoke0003,1770000980,0.49,0.51,0.49,0.51,215.9,239.7,433.3,356.7,3561.1,4928.2
0xsmoke0003,1770000985,0.64,0.66,0.34,0.36,278.6,91.6,226.8,477.7,886.6,3909.8
0xsmoke0003,1770000990,0.55,0.57,0.43,0.45,279.0,408.9,248.5,209.0,2775.8,1376.3
0xsmoke0003,1770000995,0.57,0.59,0.41,0.43,187.4,494.8,200.8,153.0,4729.0,1123.6
0xsmoke0003,1770001000,0.66,0.68,0.32,0.34,434.0,341.2,242.5,138.8,977.9,966.5
0xsmoke0003,1770001005,0.68,0.7,0.3,0.32,233.2,465.7,291.3,495.8,3744.0,1158.3
0xsmoke0003,1770001010,0.62,0.64,0.36,0.38,121.7,67.6,474.7,202.0,1353.1,958.1
0xsmoke0003,1770001015,0.57,0.59,0.41,0.43,257.5,55.3,371.8,165.5,4012.5,2698.7
0xsmoke0003,1770001020,0.54,0.56,0.44,0.46,255.7,354.2,495.5,409.0,811.0,2726.6
0xsmoke0003,1770001025,0.5,0.52,0.48,0.5,96.1,137.8,161.7,481.9,3851.9,4338.4
0xsmoke0003,1770001030,0.54,0.56,0.44,0.46,192.0,226.0,248.3,182.0,2396.5,3970.3
0xsmoke0003,1770001035,0.58,0.6,0.4,0.42,174.5,265.6,354.3,340.7,3762.4,973.7
0xsmoke0003,1770001040,0.6,0.62,0.38,0.4,189.0,176.8,390.0,497.0,3574.0,648.7
0xsmoke0003,1770001045,0.56,0.58,0.42,0.44,411.4,466.0,317.7,207.0,2098.0,3350.5
0xsmoke0003,1770001050,0.65,0.67,0.33,0.35,203.4,135.8,51.3,111.9,4330.3,3310.6
0xsmoke0003,1770001055,0.7,0.72,0.28,0.3,81.3,214.7,408.1,347.5,800.0,2306.5
0xsmoke0003,1770001060,0.67,0.69,0.31,0.33,359.5,253.3,134.7,484.7,2599.3,3728.0
0xsmoke0003,1770001065,0.69,0.71,0.29,0.31,86.3,156.5,78.4,135.8,1400.8,2366.9
0xsmoke0003,1770001070,0.74,0.76,0.24,0.26,213.1,417.6,59.6,96.5,4135.1,2902.8
0xsmoke0003,1770001075,0.72,0.74,0.26,0.28,170.3,294.0,149.7,436.3,4208.2,1948.3
0xsmoke0003,1770001080,0.72,0.74,0.26,0.28,449.5,184.4,345.6,436.2,4092.6,4381.3
0xsmoke0003,1770001085,0.67,0.69,0.31,0.33,429.0,257.5,168.7,266.4,2009.3,3952.2
0xsmoke0003,1770001090,0.8,0.82,0.18,0.2,113.5,124.0,222.6,258.5,4803.4,4737.6
0xsmoke0003,1770001095,0.79,0.81,0.19,0.21,378.4,354.8,171.7,217.7,512.1,4248.3
0xsmoke0003,1770001100,0.75,0.77,0.23,0.25,85.7,192.0,195.4,375.8,525.7,1535.1
0xsmoke0003,1770001105,0.79,0.81,0.19,0.21,434.7,333.1,301.5,150.2,4437.9,3923.2
0xsmoke0003,1770001110,0.78,0.8,0.2,0.22,122.5,147.1,220.7,199.0,774.8,2328.7
0xsmoke0003,1770001115,0.82,0.84,0.16,0.18,179.2,222.9,199.6,219.6,3285.6,2738.0
0xsmoke0003,1770001120,0.83,0.85,0.15,0.17,407.9,280.9,256.3,371.0,3884.6,4320.8
0xsmoke0003,1770001125,0.84,0.86,0.14,0.16,351.1,374.5,120.7,364.7,1645.1,1660.3
0xsmoke0003,1770001130,0.75,0.77,0.23,0.25,228.6,58.9,345.6,386.6,3990.0,1079.9
0xsmoke0003,1770001135,0.84,0.86,0.14,0.16,427.2,66.2,137.0,170.5,2578.9,1274.7
0xsmoke0003,1770001140,0.82,0.84,0.16,0.18,204.8,344.8,289.1,358.8,1608.5,3681.8
0xsmoke0003,1770001145,0.82,0.84,0.16,0.18,374.9,80.8,475.8,309.6,1725.4,2453.6
0xsmoke0003,1770001150,0.87,0.89,0.11,0.13,283.0,161.6,169.2,213.6,4014.2,2468.5
0xsmoke0003,1770001155,0.87,0.89,0.11,0.13,140.6,55.6,489.7,182.2,2918.7,2111.9
0xsmoke0003,1770001160,0.86,0.88,0.12,0.14,455.4,471.0,133.9,238.1,2181.4,1252.5
0xsmoke0003,1770001165,0.87,0.89,0.11,0.13,401.9,391.9,353.9,57.9,1533.2,2815.7
0xsmoke0003,1770001170,0.95,0.97,0.03,0.05,223.9,252.2,428.3,60.6,1708.7,1804.7
0xsmoke0003,1770001175,0.83,0.85,0.15,0.17,152.4,71.2,237.4,342.3,1190.4,4278.6
0xsmoke0003,1770001180,0.88,0.9,0.1,0.12,366.9,122.8,446.8,140.6,3791.1,4274.1
0xsmoke0003,1770001185,0.93,0.95,0.05,0.07,91.8,313.8,274.6,265.7,4016.0,2584.0
0xsmoke0003,1770001190,0.89,0.91,0.09,0.11,269.3,254.6,232.6,122.4,1828.9,1692.0
0xsmoke0003,1770001195,0.88,0.9,0.1,0.12,402.3,101.3,142.4,286.9,1906.4,1580.7
0xsmoke0003,1770001200,0.92,0.94,0.06,0.08,275.9,353.5,487.5,433.7,2435.0,2532.4
0xsmoke0004,1770001205,0.51,0.53,0.47,0.49,157.5,478.3,80.9,142.2,3478.9,3153.0
0xsmoke0004,1770001210,0.51,0.53,0.47,0.49,471.6,234.3,318.3,91.0,4509.0,963.5
0xsmoke0004,1770001215,0.51,0.53,0.47,0.49,448.5,475.2,456.8,422.4,1549.9,643.3
0xsmoke0004,1770001220,0.52,0.54,0.46,0.48,78.4,482.2,53.7,196.5,1414.8,561.6
0xsmoke0004,1770001225,0.43,0.45,0.55,0.57,84.2,455.0,359.4,216.5,4287.0,4085.9
0xsmoke0004,1770001230,0.54,0.56,0.44,0.46,431.3,468.2,329.0,208.3,4552.6,4742.9
0xsmoke0004,1770001235,0.48,0.5,0.5,0.52,88.8,440.5,349.2,154.4,3051.2,1886.9
0xsmoke0004,1770001240,0.55,0.57,0.43,0.45,204.0,138.3,69.4,204.1,4952.5,1482.5
0xsmoke0004,1770001245,0.51,0.53,0.47,0.49,487.4,53.0,182.8,419.5,930.8,4677.3
